,ECG_R_Peaks,ECG_S_Peaks,ECG_R_Offsets,ECG_T_Peaks,ECG_Q_Peaks,ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_T_Onsets,ECG_T_Offsets
0,0.3153526970954358,0.36763485477178426,0.43319502074688815,0.8746887966804977,0.2614107883817427,0.13278008298755198,0.0,0.23983402489626568,0.7087136929460581,1.0
1,0.31296449215524363,0.3633360858794385,0.4285714285714287,0.8753096614368292,0.25681255161023947,0.1321222130470683,0.0,0.23864574731626734,0.7101568951279934,1.0
2,0.3102310231023101,0.36056105610561034,0.4257425742574257,0.872937293729373,0.2566006600660065,0.1320132013201321,0.0,0.23844884488448853,0.7079207920792079,1.0
3,0.3124484748557292,0.3627370156636434,0.4023083264633137,0.8779884583676829,0.2588623248145095,0.13190436933223423,0.0,0.23825226710634764,0.7131079967023909,1.0
4,0.30960264900662243,0.36009933774834424,0.403145695364238,0.8750000000000001,0.25496688741721857,0.13245033112582727,0.0,0.23923841059602638,0.709437086092715,1.0
5,0.31286307053941964,0.36265560165975125,0.42821576763485475,0.878838174273859,0.25809128630705386,0.13278008298755198,0.0,0.23983402489626604,0.712863070539419,1.0
6,0.3107769423558894,0.3609022556390978,0.4269005847953214,0.8738512949039252,0.2556390977443607,0.13366750208855474,0.0,0.24143692564745226,0.7067669172932326,1.0
7,0.3140703517587947,0.36515912897822517,0.4313232830820768,0.8718592964824117,0.26046901172529385,0.13400335008375147,0.0,0.24204355108877773,0.7043551088777221,1.0
8,0.3160535117056853,0.36705685618729056,0.43311036789297663,0.8729096989966548,0.26170568561872926,0.13377926421404676,0.0,0.241638795986623,0.7056856187290971,1.0
9,0.31738035264483616,0.3677581863979852,0.4340890008396313,0.8732157850545762,0.2619647355163736,0.13434089000839633,0.0,0.24265323257766544,0.70528967254408,1.0
10,0.31783601014370205,0.36855452240067627,0.43533389687235746,0.8715131022823321,0.26289095519864747,0.13524936601859694,0.0,0.24429416737109022,0.7100591715976331,1.0
11,0.31868131868131777,0.36939983093829204,0.43617920540997474,0.8723584108199495,0.26373626373626324,0.1352493660185954,0.0,0.24429416737109022,0.7032967032967026,1.0
12,0.31999999999999984,0.37021276595744607,0.40851063829787154,0.8672340425531924,0.26468085106383,0.1361702127659577,0.0,0.24595744680851062,0.6970212765957445,1.0
13,0.3242784380305603,0.3760611205432937,0.4431239388794558,0.8709677419354844,0.26825127334465126,0.13582342954159615,0.0,0.2453310696095076,0.7011884550084885,1.0
14,0.3244635193133051,0.37768240343347625,0.42660944206008605,0.8678111587982832,0.26781115879828293,0.13733905579399164,0.0,0.2480686695278969,0.6961373390557944,1.0
